id,name,position,team,points_2024,points_2025,rank
119,Drake Maye,QB,NE,187.1,294.9,119
120,Tucker Kraft,TE,GB,138.3,140.1,120
121,Tank Bigsby,RB,JAX,125.5,143.3,121
122,Dak Prescott,QB,DAL,124.5,289.8,122
123,Tre Harris,WR,R,0,110.2,123
124,C.J. Stroud,QB,HOU,232.4,238.8,124
125,Trevor Lawrence,QB,JAX,152.2,228,125
126,Devin Neal,RB,R,0,97.8,126
127,Trevor Lawrence,QB,JAX,152.2,250.1,127
128,Marquise Brown,WR,KC,13.6,122.7,128
129,Tyjae Spears,RB,TEN,98.6,129.3,129
130,Dalton Kincaid,TE,BUF,78.8,112,130
131,Xavier Legette,WR,CAR,100.6,117.6,131
132,Evan Engram,TE,JAX,66,138.9,132
133,Isaiah Likely,TE,BAL,102.7,134.6,133
134,Rico Dowdle,RB,DAL,178.3,124.3,134
135,Michael Penix Jr.,QB,ATL,47.1,237.4,135
136,Christian Kirk,WR,JAX,57.4,119.5,136
137,Tua Tagovailoa,QB,MIA,188.6,259.8,137
138,Anthony Richardson,QB,IND,174.9,229.7,138
139,Romeo Doubs,WR,GB,109.1,118.5,139
140,Jake Ferguson,TE,DAL,74.9,126.6,140
141,Bryce Young,QB,CAR,204,229.9,141
142,Quentin Johnston,WR,LAC,147.2,128.3,142
143,Rachaad White,RB,TB,174.1,118.9,143
144,Jerome Ford,RB,CLE,115.5,114.6,144
145,Colston Loveland,TE,R,0,127.8,145
146,Jordan Whittington,WR,LAR,41.5,129.9,146
147,Adam Thielen,WR,CAR,115.5,124.6,147
148,Zach Ertz,TE,WAS,144.4,129.8,148
149,Trey Benson,RB, ARI,44,113.4,149
150,Kyle Pitts,TE,ATL,107.7,100.2,150
151,J.J. McCarthy,QB,MIN,0,238.9,151
152,Cam Ward,QB,R,0,219.3,152
153,Isaiah Bond,WR,R,0,102.3,153
154,Cade Otton,TE,TB,111.1,124.1,154
155,Blake Corum,RB,LAR,0,89.9,155
156,Dylan Sampson,RB,R,0,110.7,156
157,Ollie Gordon II,RB,R,0,103.4,157
158,Jalen Coker,WR,CAR,76.6,110.5,158
159,Xavier Restrepo,WR,R,110,103.4,159
160,Justin Fields,QB,PIT,120.1,215.9,160
161,Pat Freiermuth,TE,PIT,135.8,119.8,161
162,Amari Cooper,WR,BUF,100.7,101.2,162
163,Cedric Tillman,WR,CLE,65.9,100.6,163
164,Ray Davis,RB,BUF,107.6,112.9,164
165,Tyler Allgeier,RB,ATL,99.7,101,165
166,Shaduer Sanders,QB,R,0,208.9,166
167,Jaylen Royals,WR,R,0,110.2,167
168,Elic Ayomanor,WR,R,0,105.7,168
169,Geno Smith,QB,SEA,281,275.9,169
170,Cole Kmet,TE,CHI,96.9,100.4,170
171,Sam Darnold,QB,MIN,320,200.1,171
172,Jaylen Wright,RB,MIA,25.2,89.5,172
173,Dontayvion Wicks,WR,GB,91,95.6,173
174,Hunter Henry,TE,NE,112.4,104.2,174
175,Alec Pierce,WR,IND,142.9,113,175
176,Kareem Hunt,RB,KC,143.9,100.1,176
177,Isaac Guerendo,RB,SF,86.7,79.4,177
178,Matthew Stafford,QB,LAR,222.6,230.1,178
179,Braelon Allen,RB,NYJ,75.7,88.6,179
180,Austin Ekeler,RB,WAS,114.8,100,180
181,Andrei Iosivas,WR,CIN,101.9,115.3,181
